Country,Pop.('000)
Burundi,  11 891
Comoros,870
Djibouti,988
Eritrea,  3 546
Ethiopia,  114 964
Kenya,  53 771
Madagascar,  27 691
Malawi,  19 130
Mauritius,  1 272
Mayotte,273
Mozambique,  31 255
Réunion,895
Rwanda,  12 952
Seychelles,98
Somalia,  15 893
South Sudan,  11 194
Uganda,  45 741
Tanzania,  59 734
Zambia,  18 384
Zimbabwe,  14 863
Angola,  32 866
Cameroon,  26 546
Chad,  16 426
Congo Brazzaville,  5 518
Congo Kinshasa,  89 561
Equatorial Guinea,  1 403
Gabon,  2 226
Sao Tome and Principe,219
Botswana,  2 352
Eswatini,  1 160
Lesotho,  2 142
Namibia,  2 541
South Africa,  59 309
Benin,  12 123
Burkina Faso,  20 903
Cabo Verde,556
Côte d'Ivoire,  26 378
Gambia,  2 417
Ghana,  31 073
Guinea,  13 133
Guinea-Bissau,  1 968
Liberia,  5 058
Mali,  20 251
Mauritania,  4 650
Niger,  24 207
Nigeria,  206 140
Saint Helena,6
Senegal,  16 744
Sierra Leone,  7 977
Togo,  8 279
Algeria,  43 851
Egypt,  102 334
Libya,  6 871
Morocco,  36 911
Sudan,  43 849
Tunisia,  11 819
Western Sahara,597
Armenia,  2 963
Azerbaijan,  10 139
Bahrain,  1 702
Cyprus,  1 207
Georgia,  3 989
Iraq,  40 223
Israel,  8 656
Jordan,  10 203
Kuwait,  4 271
Lebanon,  6 825
Oman,  5 107
Qatar,  2 881
Saudi Arabia,  34 814
Palestine,  5 101
Syria,  17 501
Turkey,  84 339
United Arab Emirates,  9 890
Yemen,  29 826
Kazakhstan,  18 777
Kyrgyzstan,  6 524
Tajikistan,  9 538
Turkmenistan,  6 031
Uzbekistan,  33 469
Afghanistan,  38 928
Bangladesh,  164 689
Bhutan,772
India, 1 380 004
Iran,  83 993
Maldives,541
Nepal,  29 137
Pakistan,  220 892
Sri Lanka,  21 413
China, 1 439 324
Hong Kong SAR China,  7 497
Macao SAR China,    649
Taiwan,  23 817
Korea North,  25 779
Japan,  126 476
Mongolia,  3 278
Korea South,  51 269
Brunei, 437
Cambodia,  16 719
Indonesia,  273 524
Laos,  7 276
Malaysia,  32 366
Myanmar,  54 410
Philippines,  109 581
Singapore,  5 850
Thailand,  69 800
Timor-Leste,  1 318
Vietnam,  97 339
Anguilla,15
Antigua and Barbuda,98
Aruba,107
Bahamas,393
Barbados,287
British Virgin Islands,30
Cayman Islands,66
Cuba,  11 327
Curaçao,164
Dominica,72
Dominican Republic,  10 848
Grenada,113
Guadeloupe,400
Haiti,  11 403
Jamaica,  2 961
Martinique,375
Montserrat,5
Puerto Rico,  2 861
Saint Kitts and Nevis,53
Saint Lucia,184
Saint Vincent and the Grenadines,111
Trinidad and Tobago,  1 399
Turks and Caicos Islands,39
Virgin Islands,104
Belize,398
Costa Rica,  5 094
El Salvador,  6 486
Guatemala,  17 916
Honduras,  9 905
Mexico,  128 933
Nicaragua,  6 625
Panama,  4 315
Argentina,  45 196
Bolivia,  11 673
Brazil,  212 559
Chile,  19 116
Colombia,  50 883
Ecuador,  17 643
Falkland Islands Malvinas,3
French Guiana,299
Guyana,787
Paraguay,  7 133
Peru,  32 972
Suriname,587
Uruguay,  3 474
Venezuela,  28 436
Australia,  25 500
New Zealand,  4 822
Melanesia,  11 123
Fiji,896
New Caledonia,285
Papua New Guinea,  8 947
Solomon Islands,687
Vanuatu,307
Micronesia,549
Guam,169
Kiribati,119
Marshall Islands,59
Micronesia,115
Nauru,11
Northern Mariana Islands,58
Palau,18
Polynesia,684
American Samoa,55
Cook Islands,18
French Polynesia,281
Niue,2
Samoa,198
Tokelau,1
Tonga,106
Tuvalu,12
Wallis and Futuna Islands,11
Belarus,  9 449
Bulgaria,  6 948
Czechia,  10 709
Hungary,  9 660
Poland,  37 847
Moldova,  4 034
Romania,  19 238
Russian,  145 934
Slovakia,  5 460
Ukraine,  43 734
Denmark,  5 792
Estonia,  1 327
Faroe Islands,49
Finland,  5 541
Iceland,341
Ireland,  4 938
Isle of Man,85
Latvia,  1 886
Lithuania,  2 722
Norway,  5 421
Sweden,  10 099
United Kingdom,  67 886
Albania,  2 878
Andorra,77
Bosnia and Herzegovina,  3 281
Croatia,  4 105
Gibraltar,34
Greece,  10 423
Holy See Vatican City State,1
Italy,  60 462
Malta,442
Montenegro,628
North Macedonia,  2 083
Portugal,  10 197
San Marino,34
Serbia,  8 737
Slovenia,  2 079
Spain,  46 755
Western Europe,  196 146
Austria,  9 006
Belgium,  11 590
France,  65 274
Germany,  83 784
Liechtenstein,38
Luxembourg,626
Monaco,39
Netherlands,  17 135
Switzerland,  8 655
Bermuda,62
Canada,  37 742
Greenland,57
Saint Pierre and Miquelon,6
US,  331 003
World, 7 800 000
